0,0.101*"haramb" + 0.027*"can" + 0.023*"see" + 0.023*"dress"
1,0.101*"haramb" + 0.033*"candid" + 0.028*"gorilla" + 0.026*"think"
2,0.109*"haramb" + 0.090*"halloween" + 0.066*"costum" + 0.064*"chart"
3,0.195*"000" + 0.114*"haramb" + 0.104*"ll" + 0.103*"make"
4,0.134*"haramb" + 0.028*"love" + 0.025*"word" + 0.024*"kid"
5,0.085*"haramb" + 0.044*"like" + 0.043*"look" + 0.041*"will"
6,0.140*"sexi" + 0.108*"haramb" + 0.086*"costum" + 0.080*"meme"
7,0.095*"haramb" + 0.043*"clown" + 0.025*"ruin" + 0.022*"thewalkingdead"
8,0.171*"haramb" + 0.059*"take" + 0.058*"babi" + 0.050*"flyeaglesfli"
9,0.107*"haramb" + 0.091*"blacklivesmatt" + 0.091*"dio" + 0.090*"fratelloscimmia"
10,0.119*"haramb" + 0.068*"joke" + 0.057*"still" + 0.046*"make"
11,0.112*"haramb" + 0.035*"kill" + 0.022*"video" + 0.019*"funni"
12,0.126*"haramb" + 0.045*"live" + 0.031*"die" + 0.031*"deserv"
13,0.068*"ken" + 0.065*"bone" + 0.053*"haramb" + 0.042*"fuck"
14,0.144*"haramb" + 0.063*"die" + 0.035*"stop" + 0.032*"ghost"
15,0.114*"haramb" + 0.065*"dress" + 0.061*"parti" + 0.059*"naw"
16,0.080*"haramb" + 0.041*"got" + 0.029*"fact" + 0.018*"de"
17,0.097*"haramb" + 0.069*"good" + 0.066*"went" + 0.050*"costum"
18,0.139*"haramb" + 0.057*"dick" + 0.022*"meme" + 0.022*"miss"
19,0.197*"haramb" + 0.180*"like" + 0.138*"squad" + 0.090*"wshhcomedi"